Sender ID,Operator/Gateway,Description,State,Date
FirstStep,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Florid,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FLORIDA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FloridITR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FNBSB,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FocusEdu,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FocusNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FREELANCER,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FRIENDSHIPS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FromAntic,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FromNCC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FusionIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FutsalTime,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FutureStar,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GALAXYEDU,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GalaxyPS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
gantabya,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GATE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Gateway,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Gatishil,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Gaurishankr,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GCDWorlwide,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GCIPLCement,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GEMPGanga,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GEMPgobinda,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GEMPNabin,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
gems,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Genuine,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GESONNP,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GICNGH,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GlobalRelia,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
gmf,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GMservices,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GoldenEagle,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GoldnHspitl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GoldSilver,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GoldSpot,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Goodwill,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GopalGurung,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Gorkhas,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GOVIND,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GPcollege,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GRACEHTD,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GraceIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GraceOvrs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GrandFortun,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GreatSky,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GREENLAND,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GreenWorld,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GRPlacement,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GSCollege,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
gsdang,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GSI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GULFHORIZON,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GulfSpring,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GulfStar,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GULFTHAMEL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GURUKUL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
gurunggroup,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GURUNGmgmt,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GYANENDRA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GyanHari,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GYANKUNJ,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GYANODAYA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
GyanuGaire,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HamroBus,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HAMROSACCOS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Hanscoope,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Hardford,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HCOE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HeadsNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Heartland,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HeavenOvers,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HEMSSCHOOL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HERALD,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Hetaudafm,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Hgangotri,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HILLSIDE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Himalayan,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HIMARABovs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HIMHSS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HIMS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HISSANKTM,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HopeCollege,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HRDrolex,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HyolmoEnt,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
HYUNDAI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IDEAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IDEAL2,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IdealModel,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IFIMCC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ImageSchool,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IMPERIAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IMRPvtLtd,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IMSmanpower,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IndraSaccos,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IndreniClg,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
INFORMATICS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
InnovaIT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
INTEL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
INTENSIVE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
INTERACTIVE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
InterLink,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IPSitahari,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ISERNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
IshwarGrg,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JagatNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JAMBOREE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JANASAGAR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JCBMAW,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JCBService,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JciDamak,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JCIindrapur,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JcShreedhar,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JCSubash,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JECRC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JerryMS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JerryVgrs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JIBSSchool,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JIBSSTU,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JMC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JMTVS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JOBintl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JobPlacemen,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Jobspot,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
jobtrack,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JobWorld,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JPF,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JupitarOvrs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
JUPITER,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
jyotideep,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
KAGOSIDAktm,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
kailaslimbu,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Kalinchok,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
KalyanGuthi,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
KALYANJOSHI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
KAMALJAISI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
KANDK,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
